State,UniversityType,NumberOfStudents
New South Wales,Public,114625
New South Wales,Private,24993
Victoria,Public,113053
Victoria,Private,12863
Queensland,Public,61744
Queensland,Private,4433
Western Australia,Public,39657
Western Australia,Private,3370
South Australia,Public,24115
South Australia,Private,8330
Tasmania,Public,8161
Tasmania,Private,0
Northen Territory,Public,2983
Northen Territory,Private,0
Australian Capital Territory,Public,10961
Australian Capital Territory,Private,244
